Sport1,League1,Team1_Leg1,Team2_Leg1,Sport2,League2,Team1_Leg2,Team2_Leg2,Sport3,League3,Team1_Leg3,Team2_Leg3
"Hockey","Austria EHL","BEMER Pioneers Vorarlberg","Milano","Hockey","Austria EHL","Pioneers Vorarlberg","HC Milano Rossoblu"
"Soccer","Paraguayan Cup","Sportivo San Lorenzo","4 De Mayo","Soccer","Paraguayan Cup","Sportivo San Lorenzo","Club 4 de Mayo"
"Soccer","FIFA World Cup U20 W","Korea DPR U20 (W)","Colombia U20 (W)","Soccer","FIFA World Cup U20 W","Korea DPR Women U20","Colombia"
"Soccer","Chilean Cup","Everton VM","Universidad Chile","Soccer","Chilean Cup","Everton De Vina","Universidad de Chile"
"Soccer","Paraguayan Cup","Club F de la Mora","Libertad","Soccer","Paraguayan Cup","Club F de la Mora","Libertad","Soccer","Paraguay Cup","Club Fernando de La Mora","Libertad Asuncion"
"Soccer","Paraguay Cup","Club Fernando de La Mora","Libertad Asuncion","Soccer","Paraguayan Cup","Club F de la Mora","Libertad"
"Soccer","International Other Competitions Soccer","Japan U23","Thailand U23","Soccer","Asian Games","Japan","Thailand"
"Soccer","UAE President's Cup","Al Jazira Al Hamra","Forte Virtus","Soccer","UAE President's Cup","Al Jazira Al Hamra","Gulf Heroes FC"
"Soccer","UEFA Champions League W","Oud-Heuverlee Leuven","Roma","Soccer","UEFA Champions League W","Oud-Heuverlee Leuven","AS Roma"
"Soccer","FIFA World Cup U20 W","Korea DPR U20 (W)","Colombia U20 (W)","Soccer","FIFA World Cup U20 W","Korea DPR Women U20","Colombia"
"Dota 2","Dota 2 European Pro League","Kalmychata","Lynx","Dota 2","Dota 2 [DOTA] European Pro League","Kalmychata","Team Lynx"
"Soccer","Paraguay Primera Division","Sportivo Luqueno","Club Guarani","Soccer","Paraguay Primera Division","Club Sportivo Luqueño","Club Guaraní"
